Marca,Categoria,Producto_archivo,Precio_archivo_USD,Estado_archivo,Stock_nuevo_propuesto,WC_ID,Producto_WC,Precio_WC_USD,Stock_WC_actual,Match,Observacion
EMINENCE LABS,Orales,Methandrostenolona 10mg (Dianabol) 50 comp,49.99,Disponible,100,14318,Methandrostenolona 10mg (Dianabol) 50 comp,37.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Orales,Klembuterol 0.40mcg 50 comp,49.99,Agotado,0,14321,Klembuterol 0.40mcg 50 comp,37.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Orales,Klembuterol 0.60mcg 50 comp,49.99,Agotado,0,14326,Klembuterol 0.60mcg 50comp,44.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Orales,Oxandrolona 10mg 50 comp,59.99,Disponible,100,14329,Oxandrolona 10mg 50 comp,44.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Orales,Oxymetalona 50mg por 50 comp,49.99,Disponible,100,14331,Oxymetalona 50mg por 50 comp,44.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Orales,Líothyoxine 25mcg (T3) x 50 comp,49.99,Disponible,100,,,,,NO_EXISTE_WC,SIN MAPEO
EMINENCE LABS,Orales,Anastrazol 1mg x 50 comp,49.99,Disponible,100,14338,Anastrazol 1 mg x 50 comp,47.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Orales,Carbergolina 0.5mg x 10 comp,49.99,Agotado,0,,,,,NO_EXISTE_WC,Requiere crear producto
EMINENCE LABS,Orales,Clomifeno 50mg x 50 comp,49.99,Disponible,100,14340,Clomifeno 50mg 50 comp,46.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Orales,Masterolona 25mg (Proviron) 50 comp,59.99,Agotado,0,14344,Masterolona 25mg (Proviron) 50 comp,48.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Orales,Tamoxifeno 20mg,39.99,Disponible,100,14346,Tamoxifeno 20mg,39.99,,MATCH,OK_PRECIO
EMINENCE LABS,Inyectables,Testosterona Propionato 100mg,59.99,Disponible,100,14348,Testosterona Propionato 100mg,44.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Testosterona Sustanon Testo-mix,64.99,Disponible,100,14351,Testo-mix,51.99,200,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Testosterona Cypionato 250mg,64.99,Disponible,100,14355,Testosterona Cypionato 250mg,49.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Testosterona Enantato 250mg,64.99,Disponible,100,14357,Testosterona Enantato 250mg,49.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Trembolona Enantato 200mg,64.99,Agotado,0,14599,Trembolona Enantato 200 mg: Masa + Fuerza Nuclear,69.99,80,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Trembolona Acetato 100mg,74.99,Agotado,0,15193,Trembolona Acetato 100mg,57.93,99,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Metenolona Enantato 100mg (Primoboland),89.99,Agotado,0,14366,Metenolona Enantato 100mg (Primoboland),75.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Boldenona Undecylenato 200mg,59.99,Agotado,0,14369,Boldenona Undecylenato 200mg,58.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Nandrolona (Deca) 200mg,59.99,Disponible,100,14372,Nandrolona (Deca) 200mg,51.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Nandrolona (NPP) 100mg,59.99,Agotado,0,14577,Nandrolona Fenil NPP 100 mg: Volumen Rápido + Articulaciones,49.99,160,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Drostanolona Propionato 100mg,79.99,Agotado,0,14376,Drostanolona Propionato 100mg,58.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Inyectables,Stanozolol 50mg,59.99,Disponible,100,14315,Stanozolol 50mg x 50 comp,37.99,,MATCH,PRECIO_DIFIERE
VMS MOLECULAR SCIENCE,Péptidos,GLOW 70 mg,160.0,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,MOST-C 40 mg,160.0,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,GHK-CU 100 mg,130.0,Disponible,100,15236,GHK-Cu 100mg,130.0,9,MATCH,OK_PRECIO
VMS MOLECULAR SCIENCE,Péptidos,TESAMORELIN 10 mg,160.0,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,IPAMORELIN 10 mg,130.0,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,CJC1295 (Without DAC) 10 mg,150.0,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,BPC-157 10 mg,150.0,Disponible,100,15244,BPC-157 5mg,100.0,8,MATCH,PRECIO_DIFIERE
VMS MOLECULAR SCIENCE,Péptidos,TB500 10 mg,160.0,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,NAD 500 mg,140.0,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,AOD9604 10 mg,150.0,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,IGF1-LR3,120.0,Disponible,100,15248,IGF-1 LR3 1mg,120.0,84,MATCH,OK_PRECIO
VMS MOLECULAR SCIENCE,Péptidos,Semaglutide 5 mg,110.0,Disponible,100,15256,Semaglutide 5mg,110.0,60,MATCH,OK_PRECIO
VMS MOLECULAR SCIENCE,Péptidos,Tirzepatide 10 mg,120.0,Agotado,0,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,Tirzepatide 15 mg,130.0,Agotado,0,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,Tirzepatide 30 mg,160.0,Disponible,100,15223,Tirzepatide 30mg,160.0,98,MATCH,OK_PRECIO
VMS MOLECULAR SCIENCE,Péptidos,Tirzepatide 60 mg,220.0,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,Retatrutide 10 mg,160.0,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
VMS MOLECULAR SCIENCE,Péptidos,Retatrutide 30 mg,200.0,Disponible,100,15229,Retatrutide 30mg,200.0,49,MATCH,OK_PRECIO
VMS MOLECULAR SCIENCE,Péptidos,Retatrutide 60 mg,250.0,Agotado,0,,,,,NO_EXISTE_WC,Requiere crear producto
